2023-09-26 03:35:06,790 | train | INFO | batch: 200/313 loss: 0.21525977551937103 - device_num : 3
2023-09-26 03:35:06,946 | train | INFO | batch: 200/313 loss: 0.3063833713531494 - device_num : 5
2023-09-26 03:37:47,946 | train | INFO | batch: 300/313 loss: 0.08767858147621155 - device_num : 1
2023-09-26 03:37:48,066 | train | INFO | batch: 300/313 loss: 0.6186555624008179 - device_num : 0
2023-09-26 03:37:48,092 | train | INFO | batch: 300/313 loss: 0.16611450910568237 - device_num : 4
2023-09-26 03:37:48,092 | train | INFO | batch: 300/313 loss: 0.17019085586071014 - device_num : 6
2023-09-26 03:37:48,161 | train | INFO | batch: 300/313 loss: 0.2961379885673523 - device_num : 7
2023-09-26 03:37:48,171 | train | INFO | batch: 300/313 loss: 0.2095494121313095 - device_num : 3
2023-09-26 03:37:48,179 | train | INFO | batch: 300/313 loss: 0.1670176386833191 - device_num : 2
2023-09-26 03:37:48,270 | train | INFO | batch: 300/313 loss: 0.26508718729019165 - device_num : 5
2023-09-26 03:38:01,974 | train | INFO | --Val 1/10 -- device_num:6
2023-09-26 03:38:01,980 | train | INFO | --Val 1/10 -- device_num:5
2023-09-26 03:38:02,001 | train | INFO | --Val 1/10 -- device_num:2
2023-09-26 03:38:02,018 | train | INFO | --Val 1/10 -- device_num:4
2023-09-26 03:38:02,023 | train | INFO | --Val 1/10 -- device_num:0
2023-09-26 03:38:02,033 | train | INFO | --Val 1/10 -- device_num:1
2023-09-26 03:38:02,057 | train | INFO | --Val 1/10 -- device_num:3
2023-09-26 03:38:02,054 | train | INFO | --Val 1/10 -- device_num:7
2023-09-26 03:38:06,198 | train | INFO | batch: 0/16 loss: 0.5777549743652344 - device_num : 0
2023-09-26 03:38:07,040 | train | INFO | batch: 0/16 loss: 0.502305269241333 - device_num : 6
2023-09-26 03:38:07,629 | train | INFO | batch: 0/16 loss: 0.6199054718017578 - device_num : 2
2023-09-26 03:38:07,737 | train | INFO | batch: 0/16 loss: 0.4237985610961914 - device_num : 5
2023-09-26 03:38:07,811 | train | INFO | batch: 0/16 loss: 0.4516085982322693 - device_num : 4
2023-09-26 03:38:08,900 | train | INFO | batch: 0/16 loss: 0.35495850443840027 - device_num : 3
2023-09-26 03:38:09,252 | train | INFO | batch: 0/16 loss: 1.395272135734558 - device_num : 7
2023-09-26 03:38:09,406 | train | INFO | batch: 0/16 loss: 0.3755004107952118 - device_num : 1
2023-09-26 03:38:15,779 | train | INFO | Write row 1
2023-09-26 03:38:16,123 | train | INFO | --Train 2/10 -- device_num:6
2023-09-26 03:38:16,210 | train | INFO | --Train 2/10 -- device_num:5
2023-09-26 03:38:16,368 | train | INFO | --Train 2/10 -- device_num:4
2023-09-26 03:38:16,835 | train | INFO | --Train 2/10 -- device_num:3
2023-09-26 03:38:16,969 | train | INFO | --Train 2/10 -- device_num:2
2023-09-26 03:38:17,111 | train | INFO | --Train 2/10 -- device_num:1
2023-09-26 03:38:17,121 | train | INFO | --Train 2/10 -- device_num:7
2023-09-26 03:38:22,723 | train | INFO | batch: 0/313 loss: 0.6476582884788513 - device_num : 5
2023-09-26 03:38:23,760 | train | INFO | batch: 0/313 loss: 0.31252285838127136 - device_num : 4
2023-09-26 03:38:24,045 | train | INFO | batch: 0/313 loss: 0.09311360865831375 - device_num : 6
2023-09-26 03:38:24,666 | train | INFO | batch: 0/313 loss: 0.10085489600896835 - device_num : 3
2023-09-26 03:38:24,775 | train | INFO | batch: 0/313 loss: 0.14843519032001495 - device_num : 1
2023-09-26 03:38:24,976 | train | INFO | batch: 0/313 loss: 0.4159415364265442 - device_num : 2
2023-09-26 03:38:24,984 | train | INFO | batch: 0/313 loss: 0.20903587341308594 - device_num : 7
2023-09-26 03:38:26,025 | train | INFO | --Train 2/10 -- device_num:0
2023-09-26 03:38:28,583 | train | INFO | batch: 0/313 loss: 0.24338139593601227 - device_num : 0
2023-09-26 03:41:08,727 | train | INFO | batch: 100/313 loss: 0.18411023914813995 - device_num : 3
