2023-09-27 10:20:21,683 | train | INFO | Write row 1
2023-09-27 10:20:21,770 | train | INFO | --Train 2/10 -- device_num:3
2023-09-27 10:20:22,027 | train | INFO | --Train 2/10 -- device_num:7
2023-09-27 10:20:22,109 | train | INFO | --Train 2/10 -- device_num:2
2023-09-27 10:20:22,193 | train | INFO | --Train 2/10 -- device_num:1
2023-09-27 10:20:22,224 | train | INFO | --Train 2/10 -- device_num:6
2023-09-27 10:20:27,048 | train | INFO | batch: 0/313 loss: 0.3201744556427002 - device_num : 4
2023-09-27 10:20:27,508 | train | INFO | batch: 0/313 loss: 0.7536652088165283 - device_num : 5
2023-09-27 10:20:27,576 | train | INFO | batch: 0/313 loss: 0.252002090215683 - device_num : 3
2023-09-27 10:20:28,103 | train | INFO | batch: 0/313 loss: 0.18979434669017792 - device_num : 1
2023-09-27 10:20:29,123 | train | INFO | batch: 0/313 loss: 0.4079890251159668 - device_num : 2
2023-09-27 10:20:29,232 | train | INFO | batch: 0/313 loss: 0.3423447012901306 - device_num : 7
2023-09-27 10:20:29,723 | train | INFO | batch: 0/313 loss: 0.3308219611644745 - device_num : 6
2023-09-27 10:20:32,014 | train | INFO | --Train 2/10 -- device_num:0
2023-09-27 10:20:35,544 | train | INFO | batch: 0/313 loss: 0.2585206925868988 - device_num : 0
2023-09-27 10:23:18,026 | train | INFO | batch: 100/313 loss: 0.3279990553855896 - device_num : 1
2023-09-27 10:23:18,041 | train | INFO | batch: 100/313 loss: 0.12971742451190948 - device_num : 7
2023-09-27 10:23:18,150 | train | INFO | batch: 100/313 loss: 0.08814772963523865 - device_num : 2
2023-09-27 10:23:18,209 | train | INFO | batch: 100/313 loss: 0.40568816661834717 - device_num : 6
2023-09-27 10:23:18,245 | train | INFO | batch: 100/313 loss: 0.45672428607940674 - device_num : 0
2023-09-27 10:23:18,277 | train | INFO | batch: 100/313 loss: 0.06952634453773499 - device_num : 3
2023-09-27 10:23:18,453 | train | INFO | batch: 100/313 loss: 0.16464270651340485 - device_num : 4
2023-09-27 10:23:18,553 | train | INFO | batch: 100/313 loss: 0.23039761185646057 - device_num : 5
2023-09-27 10:26:02,840 | train | INFO | batch: 200/313 loss: 0.4134541451931 - device_num : 7
2023-09-27 10:26:03,005 | train | INFO | batch: 200/313 loss: 0.22846619784832 - device_num : 5
2023-09-27 10:26:03,308 | train | INFO | batch: 200/313 loss: 0.15120603144168854 - device_num : 0
2023-09-27 10:26:03,344 | train | INFO | batch: 200/313 loss: 0.12080082297325134 - device_num : 3
2023-09-27 10:26:03,392 | train | INFO | batch: 200/313 loss: 0.030354589223861694 - device_num : 2
2023-09-27 10:26:03,403 | train | INFO | batch: 200/313 loss: 0.32542961835861206 - device_num : 6
2023-09-27 10:26:03,540 | train | INFO | batch: 200/313 loss: 0.1619860827922821 - device_num : 4
2023-09-27 10:26:03,676 | train | INFO | batch: 200/313 loss: 0.09662789851427078 - device_num : 1
2023-09-27 10:28:50,850 | train | INFO | batch: 300/313 loss: 0.21825866401195526 - device_num : 4
2023-09-27 10:28:50,925 | train | INFO | batch: 300/313 loss: 0.0731295570731163 - device_num : 5
2023-09-27 10:28:50,927 | train | INFO | batch: 300/313 loss: 0.40214985609054565 - device_num : 7
2023-09-27 10:28:51,020 | train | INFO | batch: 300/313 loss: 0.47882282733917236 - device_num : 2
2023-09-27 10:28:51,228 | train | INFO | batch: 300/313 loss: 0.08667465299367905 - device_num : 1
2023-09-27 10:28:51,232 | train | INFO | batch: 300/313 loss: 0.17579832673072815 - device_num : 0
2023-09-27 10:28:51,358 | train | INFO | batch: 300/313 loss: 0.058839451521635056 - device_num : 6
2023-09-27 10:28:51,364 | train | INFO | batch: 300/313 loss: 0.21177996695041656 - device_num : 3
2023-09-27 10:29:15,627 | train | INFO | --Val 2/10 -- device_num:1
2023-09-27 10:29:15,665 | train | INFO | --Val 2/10 -- device_num:4
2023-09-27 10:29:15,666 | train | INFO | --Val 2/10 -- device_num:0
2023-09-27 10:29:15,660 | train | INFO | --Val 2/10 -- device_num:6
2023-09-27 10:29:15,674 | train | INFO | --Val 2/10 -- device_num:3
2023-09-27 10:29:15,774 | train | INFO | --Val 2/10 -- device_num:2
2023-09-27 10:29:15,782 | train | INFO | --Val 2/10 -- device_num:5
2023-09-27 10:29:15,931 | train | INFO | --Val 2/10 -- device_num:7
2023-09-27 10:29:23,030 | train | INFO | batch: 0/16 loss: 0.09536551684141159 - device_num : 6
2023-09-27 10:29:23,157 | train | INFO | batch: 0/16 loss: 0.7559333443641663 - device_num : 0
2023-09-27 10:29:24,190 | train | INFO | batch: 0/16 loss: 0.32478299736976624 - device_num : 1
2023-09-27 10:29:24,570 | train | INFO | batch: 0/16 loss: 0.2154545783996582 - device_num : 4
2023-09-27 10:29:24,580 | train | INFO | batch: 0/16 loss: 0.737436056137085 - device_num : 3
2023-09-27 10:29:25,142 | train | INFO | batch: 0/16 loss: 0.580799400806427 - device_num : 2
2023-09-27 10:29:25,143 | train | INFO | batch: 0/16 loss: 0.5727664828300476 - device_num : 5
2023-09-27 10:29:25,295 | train | INFO | batch: 0/16 loss: 0.3961436450481415 - device_num : 7
2023-09-27 10:29:32,149 | train | INFO | --Train 3/10 -- device_num:6
2023-09-27 10:29:32,183 | train | INFO | Write row 2
2023-09-27 10:29:32,491 | train | INFO | --Train 3/10 -- device_num:4
2023-09-27 10:29:32,492 | train | INFO | --Train 3/10 -- device_num:3
2023-09-27 10:29:32,566 | train | INFO | --Train 3/10 -- device_num:1
2023-09-27 10:29:33,087 | train | INFO | --Train 3/10 -- device_num:7
2023-09-27 10:29:33,227 | train | INFO | --Train 3/10 -- device_num:5
2023-09-27 10:29:33,303 | train | INFO | --Train 3/10 -- device_num:2
2023-09-27 10:29:40,286 | train | INFO | batch: 0/313 loss: 0.1478382796049118 - device_num : 4
2023-09-27 10:29:40,635 | train | INFO | batch: 0/313 loss: 0.059130165725946426 - device_num : 1
2023-09-27 10:29:40,865 | train | INFO | batch: 0/313 loss: 0.060180071741342545 - device_num : 6
2023-09-27 10:29:41,424 | train | INFO | batch: 0/313 loss: 0.44428443908691406 - device_num : 3
2023-09-27 10:29:42,586 | train | INFO | batch: 0/313 loss: 0.06336261332035065 - device_num : 2
2023-09-27 10:29:42,797 | train | INFO | batch: 0/313 loss: 0.2603035271167755 - device_num : 5
2023-09-27 10:29:42,798 | train | INFO | batch: 0/313 loss: 0.02015232853591442 - device_num : 7
2023-09-27 10:29:45,250 | train | INFO | --Train 3/10 -- device_num:0
2023-09-27 10:29:48,437 | train | INFO | batch: 0/313 loss: 0.054746538400650024 - device_num : 0
2023-09-27 10:32:35,206 | train | INFO | batch: 100/313 loss: 0.009795558638870716 - device_num : 4
2023-09-27 10:32:35,209 | train | INFO | batch: 100/313 loss: 0.16113078594207764 - device_num : 5
2023-09-27 10:32:35,222 | train | INFO | batch: 100/313 loss: 0.13086262345314026 - device_num : 7
2023-09-27 10:32:35,263 | train | INFO | batch: 100/313 loss: 0.04140310361981392 - device_num : 2
